,A_countor,A_inside,Kpeak_countor,Kpeak_inside,SER_countor,SER_inside,Slope_ini_countor,Slope_ini_inside,Tpeak_countor,Tpeak_inside,UptakeRate_countor,UptakeRate_inside,Vr_decreasingRate_countor,Vr_decreasingRate_inside,Vr_increasingRate_countor,Vr_increasingRate_inside,Vr_post_1_countor,Vr_post_1_inside,alpha_countor,alpha_inside,beta_countor,beta_inside,iAUC1_countor,iAUC1_inside,maxCr_countor,maxCr_inside,maxVr_countor,maxVr_inside,peakCr_countor,peakCr_inside,peakVr_countor,peakVr_inside,washoutRate_countor,washoutRate_inside
0,2.16108236422,2.38660987601,-0.000623674629231,-0.00923673245269,0.852592136327,0.872337442775,1.62870183598,1.79238341973,10.0648009666,6.64249586253,0.799526396444,0.799526396444,0.0994779527527,0.0125317040312,0.124594348469,0.352645482079,0.300883152441,0.352645482079,0.753650977373,0.751016509967,0.00038292744286,0.00515332397689,2.97003591808,3.261120505,2.39857918933,2.39857918933,0.373783045406,0.352645482079,3.0,3.0,3.0,1.0,0.206805907111,0.0694575698489
0,99.4905117494,98.9084604072,-0.0247571895912,-0.0334947576435,0.572139193091,0.614668134423,0.313287497275,0.360799258886,12.408784083,10.5655669657,0.342010973757,0.342010973757,0.0352706396877,0.0256253746579,0.234745943861,0.234745943861,0.0777483764419,0.234745943861,0.00314891834172,0.00364780987794,0.0790238672356,0.0928348848248,597.846160668,596.174225088,1.36804389503,1.36804389503,0.234745943861,0.234745943861,4.0,4.0,1.0,1.0,0.0,0.0
0,1.39389124395,1.57606589252,-4.89336384413e-05,-7.78797741065e-05,0.639013429411,0.736560461246,0.48933285403,0.778793360533,23.255046308,17.2130119067,0.449279531405,0.449279531405,0.0,0.00942680241171,2.34510778031,3.01256558384,6.06391820887,3.01256558384,0.351055260699,0.494137563809,0.000100000721468,0.000100000562477,1.22033977729,1.75313887503,1.79711812562,1.79711812562,9.38043112126,3.01256558384,4.0,4.0,4.0,1.0,0.0,0.0
0,1.34736553357,1.40700552331,-7.39775265477e-05,-8.90593960424e-05,0.742820937699,0.786359771652,0.739774348437,0.890593788645,15.6833102759,13.8287009175,0.370056953576,0.370056953576,0.0119362541357,0.00868021525766,0.221690623782,0.221690623782,0.194718431847,0.221690623782,0.549052450878,0.63297106791,0.000100000123962,0.000100000019288,1.42041752979,1.62224412747,1.48022781431,1.48022781431,0.221690623782,0.221690623782,4.0,4.0,1.0,1.0,0.0,0.0
0,1.27691156216,1.57863938845,-3.3475221217e-05,-0.00480237528964,0.571303677791,0.610070334686,0.334747096302,0.427761251706,30.0277358465,11.899169521,0.323229876976,0.323229876976,0.0404645749323,0.0133844314143,0.214532340542,0.214532340542,0.0752983778307,0.214532340542,0.262153704472,0.270968312862,0.000100001528278,0.0112267655625,0.882618189606,1.25889157168,1.2929195079,1.2929195079,0.214532340542,0.214532340542,4.0,4.0,1.0,1.0,0.0,0.0
0,1.25424072696,1.56569735923,-4.5335444454e-05,-8.12198546796e-05,0.642956321569,0.74812844885,0.45335444454,0.812198429636,22.6665943119,16.4901505211,0.403316295166,0.403316295166,0.0512979059503,0.010807292105,0.737757565682,0.737757565682,0.49402020439,0.737757565682,0.361457282317,0.518745480951,0.0001,0.000100000014425,1.10935273083,1.77843569515,1.61326518066,1.61326518066,0.737757565682,0.737757565682,4.0,4.0,1.0,1.0,0.0,0.0
0,1.65785583333,2.09225830412,-0.0224472216482,-0.053635546855,0.993592941288,1.05992240595,1.72343063751,2.36440369492,4.2250315321,3.47608272248,0.994020216114,0.994020216114,0.0548572238391,0.0,0.566007373944,0.105635315988,0.566007373944,0.416752830921,1.03955398465,1.13007255857,0.0130247316949,0.0226845977995,2.69799381537,3.4766475093,1.98804043223,1.98804043223,0.566007373944,0.422541263953,2.0,2.0,1.0,4.0,0.200566403558,0.0680371870719
0,0.99608668008,1.43697071366,-0.00255582348067,-0.009042622989,0.669487085427,0.68644485666,0.307118418139,0.389571627904,11.8021280695,9.36903640729,0.266328782254,0.266328782254,0.0117964941768,0.0084400052754,0.134631861241,0.134631861241,0.0677251422037,0.134631861241,0.308324992474,0.27110617092,0.00832194791884,0.0232117083003,0.997529219907,1.48927722537,1.06531512901,1.06531512901,0.134631861241,0.134631861241,4.0,4.0,1.0,1.0,0.0,0.0
0,1.73743392991,1.75485179258,-0.000105414246388,-0.0119644548087,0.832139265662,0.883688690433,1.05414246388,1.06601252437,14.3571489112,6.60051645216,0.47141088598,0.41940595543,0.0,0.00640461153454,0.174959679767,0.501792781588,0.633899444826,0.501792781588,0.606723769885,0.607465843483,0.0001,0.0112235593252,2.64370981513,2.65075341231,1.88564354392,1.67762382172,0.699838719068,0.501792781588,4.0,4.0,4.0,1.0,0.0,0.0
0,95.376859741,98.5182802939,-0.0318003624571,-0.0400603658108,0.651046982534,0.665216613568,0.266750665696,0.322474069167,8.29140603356,7.9454810517,0.245865307784,0.245865307784,0.0121917241514,0.0101569407051,0.0929107707146,0.18249610913,0.107970606608,0.18249610913,0.00279680696576,0.00327324094783,0.119213807299,0.124228177212,508.897133966,524.408597745,0.983461231135,0.983461231135,0.185821541429,0.18249610913,4.0,4.0,2.0,1.0,0.0,0.0
