,texture_contrast_nondir_post1,texture_contrast_nondir_post2,texture_contrast_nondir_post3,texture_contrast_nondir_post4,texture_correlation_nondir_post1,texture_correlation_nondir_post2,texture_correlation_nondir_post3,texture_correlation_nondir_post4,texture_diffentropy_nondir_post1,texture_diffentropy_nondir_post2,texture_diffentropy_nondir_post3,texture_diffentropy_nondir_post4,texture_diffvariance_nondir_post1,texture_diffvariance_nondir_post2,texture_diffvariance_nondir_post3,texture_diffvariance_nondir_post4,texture_energy_nondir_post1,texture_energy_nondir_post2,texture_energy_nondir_post3,texture_energy_nondir_post4,texture_entropy_nondir_post1,texture_entropy_nondir_post2,texture_entropy_nondir_post3,texture_entropy_nondir_post4,texture_inversediffmoment_nondir_post1,texture_inversediffmoment_nondir_post2,texture_inversediffmoment_nondir_post3,texture_inversediffmoment_nondir_post4,texture_sumaverage_nondir_post1,texture_sumaverage_nondir_post2,texture_sumaverage_nondir_post3,texture_sumaverage_nondir_post4,texture_sumentropy_nondir_post1,texture_sumentropy_nondir_post2,texture_sumentropy_nondir_post3,texture_sumentropy_nondir_post4,texture_sumvariance_nondir_post1,texture_sumvariance_nondir_post2,texture_sumvariance_nondir_post3,texture_sumvariance_nondir_post4,texture_variance_nondir_post1,texture_variance_nondir_post2,texture_variance_nondir_post3,texture_variance_nondir_post4
0,49.0261194030,90.0466417910,117.7751865672,117.2117537313,0.5804933832,0.5903092312,0.6301002290,0.6413019258,1.1291607434,1.2567492625,1.3213299526,1.3309021645,25.6589962965,45.8092524783,57.8716297825,55.0638287689,0.0066116479,0.0038757936,0.0033049538,0.0030351971,2.3454351229,2.5302728887,2.5893322572,2.6197581110,0.2215809517,0.1587139263,0.1388586322,0.1341883239,175.2817164179,174.0578358209,181.3367537313,212.4468283582,1.5947329934,1.7524510516,1.8410873888,1.8606947349,159.6855612330,307.6626997939,452.1449924468,468.2397100899,40.9552238806,79.1122152762,116.4562506961,121.0742056973
0,160.2704916651,281.9827908780,381.2932461360,395.4625562541,0.2250321013,0.2281167259,0.2422781038,0.2404060250,1.3859692945,1.5158491473,1.5861166842,1.5998878704,85.3365174029,143.3964526356,188.1741855582,189.0565859206,0.0017678228,0.0009482015,0.0006771273,0.0006249360,2.9907452758,3.2477995833,3.3884490434,3.4172517313,0.1490398868,0.1115616802,0.0956492665,0.0917599780,180.4210419862,180.4373072191,187.7716968093,216.8422525241,1.7452995213,1.8789379185,1.9570570713,1.9689678122,253.3062477234,448.6027922972,625.0540314733,645.7227770799,105.9652003530,186.3557778297,256.8577597780,265.2572515576
0,76.2454280964,109.8299251870,131.6238570241,135.8743973400,0.1882228046,0.1780788575,0.2040833875,0.2145422430,1.2494341847,1.3218747874,1.3635444678,1.3721982849,37.0945573082,54.0651584878,63.5894713272,64.9900353992,0.0029187457,0.0021448181,0.0016843421,0.0015678627,2.7291907788,2.8666061869,2.9652598734,2.9918033425,0.1790744676,0.1539965342,0.1393298136,0.1359131917,183.0368661679,201.8436408978,218.2053200333,216.7003325021,1.5922479299,1.6670357348,1.7213174936,1.7349427744,111.5746591733,157.4084695369,199.1113765185,210.0841811031,46.8387880033,67.5721662369,83.5421250334,87.3943004276
0,52.7754949010,80.0546890622,102.7696460708,107.3169866027,0.2802871887,0.3036652912,0.3127708471,0.3329281490,1.1531303218,1.2388470893,1.3021731163,1.3151023563,28.0680751347,42.5858963180,52.0869768058,53.6894070771,0.0043842261,0.0030028088,0.0021551529,0.0021097860,2.5785800746,2.7468118283,2.8806790792,2.9028319390,0.2198601404,0.1857795986,0.1606058359,0.1575695002,181.5839332134,201.7479504099,215.7443511298,215.8348830234,1.5425825233,1.6339272782,1.7028353572,1.7150152400,93.8443349398,149.8001982587,196.2305844670,214.3171175078,37.1201031214,58.2296786294,75.1045512553,80.8451190886
0,38.1493166153,44.4540045896,53.4923162227,56.1479324427,0.6939227991,0.6861380040,0.6842398966,0.6932119936,1.0843557796,1.1195353130,1.1586941310,1.1710027917,21.3751038285,24.4465423260,29.1732661958,30.2377356611,0.0068417721,0.0055548601,0.0043568553,0.0035927363,2.5950871537,2.6801264322,2.7737353841,2.8277647918,0.2997882843,0.2778690808,0.2572875890,0.2440874522,87.3272961280,148.3694567325,140.3165950971,154.3148507158,1.6458566248,1.6855667708,1.7329063215,1.7626545511,211.1086422429,238.7997245504,285.3104418632,309.8768483694,62.2851420070,70.8347310385,84.8147970856,91.5858181998
0,151.5778493283,197.8461501177,245.9109541615,282.9024304113,0.3023207104,0.3045517077,0.3115462897,0.2977908685,1.3204878451,1.4129667134,1.4778120730,1.5170572006,93.0258940234,111.1529274331,129.6833849456,143.4320873385,0.0041112822,0.0021822776,0.0012783754,0.0009849143,2.7845488354,3.0225555925,3.1986122596,3.2835630112,0.2097513033,0.1647387059,0.1362093112,0.1227595068,126.9278147071,146.3786940867,164.0158980751,165.3996053178,1.6725196638,1.7845664544,1.8731474137,1.9099726767,282.9415764321,371.1257017152,468.4632287635,522.8261555013,108.7963969620,142.7051987298,179.2644154082,202.0859054275
0,83.7688949264,145.9648764769,209.2841852530,256.3726164150,0.4677920457,0.4792036460,0.4922597895,0.5123719873,1.2206790996,1.3543024497,1.4453444572,1.4938107861,49.4584054789,81.5617922856,110.4561906471,131.9585860215,0.0046560193,0.0023136987,0.0012901450,0.0009285293,2.7109782684,3.0007134079,3.2184424797,3.3447576830,0.2258032583,0.1729421370,0.1384035215,0.1241967243,125.7713717066,146.9467555443,164.5037846718,169.8073039742,1.6347447439,1.7877631421,1.9003691311,1.9726578684,231.0253496253,414.5796443355,615.0907640929,795.1354593834,78.7450953195,140.2309666992,206.1884142654,262.8766995515
0,143.9528443754,249.0282094230,308.0127150245,299.1597284201,0.1407976969,0.1389174569,0.1429642787,0.1410757270,1.3799133892,1.5036379928,1.5534024630,1.5494913044,71.6154204907,117.9250141507,141.1028140369,134.7032154953,0.0016359835,0.0008416059,0.0006173414,0.0006008410,2.9948149265,3.2622788494,3.3834804394,3.3862639759,0.1428539561,0.1070055223,0.0937326321,0.0929269336,161.0502651001,191.5502508365,221.3467085610,225.2354398706,1.7124208252,1.8428672251,1.9000508851,1.8983401218,191.1160043453,329.3581077927,410.7463424709,397.4036660342,83.7897910142,144.8373665988,180.0283100610,174.5124559958
0,41.9523809524,91.9523809524,89.7619047619,190.9047619048,-0.3121021618,-0.2584057357,-0.2298374425,-0.3223614319,1.0209090544,1.0712208427,1.0712208427,1.1680505453,15.0113378685,30.2176870748,30.9841269841,69.9047619048,0.0521541950,0.0476190476,0.0521541950,0.0476190476,1.2935497713,1.3222192947,1.2935497713,1.3222192947,0.1719982185,0.0781490886,0.1441029449,0.0527377740,123.5714285714,131.1904761905,155.0952380952,172.0476190476,1.1215326310,1.0712208427,1.1107114985,1.1572294128,21.7687074830,53.0113378685,54.8480725624,97.7596371882,14.6258503401,30.7256235828,35.2970521542,74.0589569161
0,100.5311579691,137.7891388856,135.2973259512,144.1758746613,0.4474031722,0.4479743058,0.4390654662,0.4472965286,1.2605186360,1.3399159551,1.3460515495,1.3576044590,58.8664065216,76.7471951707,73.0623450239,78.0647423250,0.0043131771,0.0028919230,0.0027454959,0.0026652329,2.6998350835,2.8310088830,2.8661125635,2.8809957769,0.2144878045,0.1709936896,0.1639493098,0.1632691197,206.3820237955,250.5979502886,242.6230415832,253.8790199081,1.6885054954,1.7555466199,1.7692063630,1.7819948958,263.2571677266,361.3967256844,347.0528605332,377.5050952345,91.4464247531,126.0045333313,121.2657549484,131.9079939100
0,62.0851506889,119.5329855831,194.7093382266,239.1458540583,0.2669644872,0.2681332131,0.2775282911,0.2784580185,1.0822943524,1.2443578499,1.3609761605,1.4167620691,43.3549476329,79.0067863735,124.6192431763,148.7149290793,0.0099966491,0.0044129074,0.0024195174,0.0018225173,2.3342494514,2.6749672692,2.9264903537,3.0433345789,0.3027242177,0.2224737614,0.1779987065,0.1577913548,215.6165847976,235.1985165637,184.0978717482,166.8419815576,1.4401221163,1.6072299197,1.7379678635,1.7958725905,107.3014410504,207.1132181139,344.2841600712,423.7092950771,42.4477240410,81.8405600030,135.1756054940,166.2417189034
0,123.7467889908,101.7300713558,127.7641182467,95.4470948012,0.0678907160,0.0751546421,0.0836522073,0.0966329979,1.3516866281,1.3117347234,1.3641091431,1.3096260644,60.3975219278,48.4653690663,59.2003163054,42.3548518695,0.0029576011,0.0033865462,0.0024231655,0.0027170261,2.7422640182,2.6684760033,2.7950103607,2.7137088429,0.1657761096,0.1720662218,0.1504066728,0.1611062107,205.5612640163,208.2735983690,216.5469928644,237.3219164118,1.6366417349,1.6042399219,1.6622904898,1.6083397724,141.6811091056,118.2529726787,151.0906051264,115.8623229329,64.1222287271,54.7069743682,69.7320059312,53.1786548291
0,98.6785939802,141.2524731635,161.1081877499,159.5953483477,0.5265156560,0.5367370053,0.5513872852,0.5633880546,1.1500797700,1.2647555256,1.3114960806,1.3298266470,69.6330510086,93.6784840321,102.9109753717,98.1935606972,0.0104650890,0.0053200644,0.0041118862,0.0033459373,2.4007818163,2.6470847200,2.7548500673,2.8302340678,0.2983215134,0.2307497197,0.2086296633,0.1944346877,102.2391075563,129.3236160808,127.7053251947,155.2213218270,1.5369064156,1.6812735172,1.7451169539,1.7806994076,318.1070035395,468.5251400286,557.1004957425,571.4087097661,103.4898633045,151.1690384140,178.1118257969,181.0044391833
0,163.3090494297,308.6396958175,379.3622813688,351.8015209125,0.1353321023,0.1261547645,0.1116916366,0.1010039861,1.4028057693,1.5426783930,1.5886032565,1.5773532796,80.5696199396,147.8688667120,179.3517062499,161.2439666556,0.0029728231,0.0015721956,0.0013602163,0.0013697928,2.7698996734,3.0191088506,3.0639209920,3.0633013606,0.1485463279,0.1029928152,0.0951740696,0.0932876223,183.5736882129,188.1767300380,203.3692775665,197.5055513308,1.6843146733,1.8323273912,1.8644453895,1.8517212027,214.4106536975,397.7497550868,474.7205162081,430.7911098671,92.9062290911,174.9948022727,211.5476196793,193.6781830936
0,100.7957625031,233.4361501191,308.9947441899,306.9489611563,0.4698919477,0.4853136532,0.5030877522,0.5111913544,1.2998377974,1.4734701584,1.5352281940,1.5329481829,51.5724652423,120.0452209694,156.9767999422,155.9105736259,0.0024119916,0.0011402264,0.0009045091,0.0009033525,2.9048632559,3.2250107578,3.3290545203,3.3398595825,0.1775674570,0.1306643598,0.1146520839,0.1139374086,184.9321672005,193.1417426295,210.4318797733,206.0020941119,1.7461762750,1.9336662457,1.9991970689,2.0034889876,279.2530976519,673.1520368089,934.0392333310,948.1988541184,94.2160043292,225.1394954114,309.1108363274,312.5076381230
0,235.6985977543,458.1421049804,561.8241551604,540.1518830925,0.1434550361,0.1449579700,0.1523889468,0.1424421364,1.4740679068,1.6189945959,1.6687274156,1.6668616040,121.8390464226,231.0289626771,273.3937984262,253.6963035580,0.0019925109,0.0010620800,0.0007861333,0.0007481070,2.9837131826,3.2342411881,3.3414357360,3.3429365692,0.1366561384,0.1004837375,0.0866393428,0.0860451210,182.5881910493,187.2746467523,203.1273303605,199.9417074088,1.7751693189,1.9223512296,1.9804021323,1.9791818911,314.6475304568,613.4767101382,763.8303458360,719.5835036017,137.6443636601,267.9971787918,331.3047767068,314.3856221643
0,272.3307902413,330.3915209658,352.2660804910,469.4811333479,0.1270777181,0.1626669360,0.1788946022,0.1822349202,1.5273222009,1.5723311115,1.5888388854,1.6514548556,124.1239452682,145.8889660220,151.0064286882,199.3113782918,0.0007382618,0.0005666856,0.0004702686,0.0003442664,3.3546588510,3.4604025116,3.5086340248,3.6291813825,0.0946332698,0.0842549580,0.0792654132,0.0709044970,286.7138557772,303.4743049350,290.6138911838,311.7822242080,1.8768881169,1.9379821976,1.9639102470,2.0286748117,351.5895399390,458.6665642245,505.7241896959,678.7105022506,158.0042752952,198.5612027906,216.1731657849,289.5492251585
0,107.0207813799,246.7743142145,260.1139650873,251.5519118869,0.1266484692,0.1126906893,0.1088350007,0.1192075985,1.3225670401,1.4917002234,1.5026505517,1.4913393116,51.7861079568,122.7324910293,129.0790332702,127.8200387418,0.0022801717,0.0011586336,0.0011712959,0.0012631140,2.8542019336,3.1437889658,3.1541658260,3.1227545648,0.1595314119,0.1151506022,0.1131570140,0.1185181980,187.3753117207,190.5748129676,169.0061512884,149.2745220283,1.6487767087,1.8119712903,1.8170940074,1.8050691773,137.9834968895,309.3471461620,323.5599787868,319.5938396510,61.6159794802,139.9375342798,146.0316987025,142.3313039513
