,circularity,edge_sharp_mean,edge_sharp_std,iMax_Variance_uptake,iiMin_change_Variance_uptake,iiiMax_Margin_Gradient,irregularity,ivVariance,k_Max_Margin_Grad,kurt_F_r_i,max_F_r_i,max_RGH_mean,max_RGH_mean_k,max_RGH_var,max_RGH_var_k,mean_F_r_i,min_F_r_i,skew_F_r_i,var_F_r_i
0,0.8557272222,-0.3653771430,0.9629372108,6.8991284887,0.2368081954,0.0904643333,0.9019838210,0.0073660645,1.0000000000,0.0923005845,1029.0000000000,0.5815739112,1.0000000000,0.0797881192,1.0000000000,733.8259668508,329.5000000000,-0.2627904551,18484.1128299570
0,0.8557348215,-0.0898901054,1.2075315567,2.5228532563,0.6072054313,0.1232812118,0.9761907507,0.0156952954,4.0000000000,-0.6177832745,1823.7500000000,0.5191298662,4.0000000000,0.0892667496,3.0000000000,1024.5994005994,369.2500000000,0.1818238513,81258.4257290685
0,0.8557255815,0.9996229513,1.0022739757,41.8405443966,0.0254025553,0.1281473480,0.9011307891,0.0153479298,1.0000000000,-0.2146290854,688.5000000000,0.5974012456,4.0000000000,0.0853020595,1.0000000000,550.0563725490,427.0000000000,0.4277280351,3368.8672345176
0,0.8557069400,-0.0905062414,0.8743513427,4.7999564568,0.4375548801,0.0915053640,0.8957879143,0.0073864309,4.0000000000,-0.2013687674,1046.7500000000,0.5836983608,1.0000000000,0.0854898362,4.0000000000,857.2341269841,554.0000000000,-0.7624901779,17457.6620583717
0,0.8557304182,-0.3789637521,0.9841914818,8.3233168152,0.1476577920,0.1092855758,0.9272782332,0.0113605328,1.0000000000,-0.1039117400,917.7500000000,0.4716202128,1.0000000000,0.0738880595,1.0000000000,693.3829617834,380.7500000000,-0.0421375564,11501.8665650882
0,0.8557354049,-0.7767403786,0.9367784201,4.8837338448,0.2122935934,0.0872979092,0.9625310554,0.0084533103,1.0000000000,-0.4491569513,1019.0000000000,0.5874782858,4.0000000000,0.0865582605,3.0000000000,710.0379901961,428.2500000000,0.2342905341,12990.0093363794
0,0.8556832749,-0.5343654345,0.9543089114,2.1685160522,0.6562578373,0.0765577628,0.7904832761,0.0043452410,1.0000000000,0.3215347731,743.2500000000,0.6674345845,1.0000000000,0.0814524823,4.0000000000,633.4280303030,429.5000000000,-1.1370757025,7162.6716200466
0,0.8557350650,-2.3002049871,1.0031991594,6.6901387937,0.1494737300,0.1178563816,0.9525492925,0.0213372302,1.0000000000,-0.0297120644,2026.7500000000,0.5868709702,1.0000000000,0.0807203643,3.0000000000,984.8672257163,331.5000000000,0.9039536767,140242.2009939746
0,0.8557241744,-0.3779669120,0.9149463103,6.0884165083,0.2410814309,0.0977863776,0.8616276817,0.0130702583,4.0000000000,-0.7550641727,1500.5000000000,0.6654942492,4.0000000000,0.0670218930,2.0000000000,1089.2245934959,604.5000000000,-0.2825588683,47452.8644640783
0,0.8557277091,-3.8355357572,0.9774894703,7.7172438179,0.1676422308,0.1847215708,0.8882074305,0.0281166007,1.0000000000,-0.2900529722,843.0000000000,0.5236810082,1.0000000000,0.0731646632,4.0000000000,561.1520408163,347.0000000000,0.4423156002,11204.3341920375
0,0.8557307345,-0.2874566997,0.9093631221,5.6862601394,0.2590971204,0.1351133999,0.9452083177,0.0194070414,4.0000000000,-0.4308549206,841.0000000000,0.5355690851,2.0000000000,0.0878364132,2.0000000000,574.7309562399,295.5000000000,0.1586975611,10670.9453274643
0,0.8556573825,-0.1103245610,0.9989222224,6.8005761523,0.2517371992,0.1135435330,0.8284605799,0.0127238841,4.0000000000,-0.3108257161,686.0000000000,0.5810656964,1.0000000000,0.0867023170,1.0000000000,563.0758426966,395.7500000000,-0.2368559489,4193.9671859040
0,0.8557363429,-0.1898878445,0.8965325504,8.8071097866,0.2065492754,0.0996255169,0.9834422566,0.0089774403,4.0000000000,0.0772385137,1113.0000000000,0.4812671449,1.0000000000,0.0777318370,3.0000000000,755.3960341365,449.0000000000,0.4371110757,10777.5662439576
0,0.8557345635,-0.3700767716,1.0547325128,9.4913457627,0.2231121522,0.1637074960,0.9705432494,0.0254234755,4.0000000000,-0.8831059920,1013.7500000000,0.5332044081,3.0000000000,0.0890979266,4.0000000000,584.8029090909,180.2500000000,0.0617002206,33886.9849265582
0,0.8557335695,0.0162818857,0.9859175355,2.9205178076,0.4084923643,0.1407247853,0.9756404981,0.0154509555,3.0000000000,-0.0020529412,742.5000000000,0.4838361518,1.0000000000,0.0757546405,2.0000000000,493.1920731707,194.5000000000,-0.1308199757,9028.8820036059
0,0.8557361434,-0.3166228686,0.9150053156,2.3879549302,0.5250018773,0.0741503902,0.9658967358,0.0064411413,4.0000000000,-0.2570200249,2135.7500000000,0.5725333836,1.0000000000,0.0899663852,3.0000000000,1203.9145843345,355.5000000000,0.1058328142,116078.0427948950
0,0.8557358180,-0.4898534037,0.9587408757,1.7277582966,0.7170097303,0.0860576674,0.9634538765,0.0118278263,4.0000000000,-0.1004670724,1724.0000000000,0.5793857503,4.0000000000,0.0841113841,2.0000000000,1030.3834519573,452.7500000000,0.0724400302,41835.3930254055
0,0.8557352437,-0.6122193905,0.9301870274,7.5752643255,0.1540667860,0.1259577266,0.9661128386,0.0162993061,2.0000000000,1.5119795557,1324.2500000000,0.5339374159,2.0000000000,0.0857202361,2.0000000000,770.9694323144,367.0000000000,0.8482750250,19552.9085606880
0,0.8557363319,-0.4848737331,0.9858874260,4.7999814197,0.2083341398,0.1280201678,0.9649327643,0.0165587603,1.0000000000,0.0342712173,1382.5000000000,0.5520208101,2.0000000000,0.0833946843,4.0000000000,853.9265214385,336.2500000000,0.0456958287,29860.2378661325
0,0.8557365665,-0.3190121614,0.9787261860,7.6458762869,0.1307894560,0.1080179838,0.9917432782,0.0140500024,1.0000000000,-0.0223817114,1864.7500000000,0.5065388617,1.0000000000,0.0846835477,1.0000000000,928.2476812378,327.0000000000,0.7238877165,69127.8546487942
0,0.8557338003,-0.9252606469,0.9567435356,6.0138888242,0.1662817570,0.1016440505,0.9388675237,0.0136790781,4.0000000000,0.3511295672,1311.2500000000,0.5192717432,1.0000000000,0.0869475826,1.0000000000,782.0170833333,448.2500000000,0.7812648225,28482.4428526711
0,0.8557296599,-0.9129751218,0.8886704846,4.1574821694,0.4866673868,0.0805349592,0.8943364772,0.0069764749,4.0000000000,-0.1179356646,710.5000000000,0.5736674841,1.0000000000,0.0949150151,4.0000000000,581.8581504702,417.7500000000,-0.1218785869,3044.1988574752
0,0.8557364798,-1.0839486269,1.0012996050,5.1350158354,0.1947413663,0.1520937000,0.9873251906,0.0247048083,1.0000000000,-0.0743256586,1386.5000000000,0.5292575040,1.0000000000,0.0851757513,2.0000000000,770.3401769774,229.0000000000,0.2386528108,29961.7240698424
0,0.8557343671,1.1261244562,1.0073289429,4.5962667051,0.2175678794,0.1148915212,0.9534874929,0.0143845885,1.0000000000,0.2018387994,1417.0000000000,0.5468711594,1.0000000000,0.0836192393,2.0000000000,913.4752513534,391.0000000000,0.4237380574,28185.1628218390
0,0.8557013000,-0.0850124280,0.8995617721,1.8240618638,0.6697634834,0.0652105811,0.8908301735,0.0030971759,1.0000000000,0.1602267897,916.7500000000,0.4228567332,4.0000000000,0.0636672693,3.0000000000,750.0221893491,502.7500000000,-0.4517520885,6169.8144547760
0,0.8556647458,0.0077330767,0.9315024117,2.4244958099,0.4124568894,0.0630084782,0.7124242438,0.0027540593,1.0000000000,-0.6541454452,944.2500000000,0.6326522750,4.0000000000,0.0214843634,3.0000000000,855.2149122807,727.2500000000,-0.5112309773,3194.0977443609
0,0.8557349055,-0.0314128486,0.9463787915,2.1146187641,0.5756210373,0.1421642040,0.9794858684,0.0156607891,4.0000000000,0.4096601191,1210.7500000000,0.5629175109,1.0000000000,0.0840355940,2.0000000000,574.4891804788,184.2500000000,0.7408086277,34421.1197564733
0,0.8557283664,-0.6946581536,0.9779088493,2.4333360513,0.4109584451,0.1182731281,0.9217499021,0.0189386100,1.0000000000,-0.3830092642,750.2500000000,0.6145922323,1.0000000000,0.0904311709,4.0000000000,562.4632352941,339.7500000000,-0.0579715289,6908.2294787314
0,0.8557152788,-0.1025004439,0.9162069699,2.0544627711,0.4867452524,0.0977768368,0.9343373217,0.0067805364,1.0000000000,-0.3343760176,489.0000000000,0.4325916482,4.0000000000,0.0749101623,4.0000000000,368.9186991870,206.5000000000,-0.3357791741,4111.4950353192
0,0.8557363312,-0.0762295190,0.9627952663,2.1800617192,0.4903180585,0.1098497155,0.9892418639,0.0124538550,1.0000000000,-0.6437359347,1630.5000000000,0.5287789779,1.0000000000,0.0821841912,4.0000000000,942.4590758392,254.2500000000,-0.0137506434,53364.8701982128
0,0.8557348441,-0.0703825629,0.8965744574,1.7131502155,0.6221461415,0.1014508643,0.9846387121,0.0135566502,1.0000000000,1.4393737615,1308.5000000000,0.5080599431,1.0000000000,0.0797594057,4.0000000000,588.3102297999,223.5000000000,0.9298741931,30784.2109549771
0,0.8557328984,-0.2517503766,0.9824636183,3.7244216775,0.2684980613,0.0690151555,0.9577986122,0.0047729670,1.0000000000,0.4622731926,764.5000000000,0.5448866873,1.0000000000,0.0879962098,1.0000000000,527.9115990991,363.5000000000,0.3656054080,3788.3863939334
0,0.8557362401,-0.3757141936,0.9149365173,3.5569663943,0.2811384447,0.0773481685,0.9811783759,0.0064486785,4.0000000000,0.1968680394,1078.7500000000,0.4951842119,1.0000000000,0.0830471222,1.0000000000,725.8485224733,457.2500000000,0.6329606018,8470.6158500600
0,0.8557326022,0.0218271380,0.9728449224,4.8793717005,0.2474144923,0.0942556313,0.9607079477,0.0058516527,1.0000000000,-0.3079908579,2119.2500000000,0.5277844279,1.0000000000,0.0849332780,1.0000000000,1433.5707547170,775.5000000000,0.1209172631,59558.3026620566
0,0.8557303051,-1.1547962351,1.0089752486,4.2406234214,0.2788215643,0.1352480320,0.9057663181,0.0229508767,1.0000000000,-0.3637256698,903.2500000000,0.5866836821,1.0000000000,0.0818592608,4.0000000000,702.6887651822,395.5000000000,-0.3016522012,10648.5380150036
0,0.8557355508,-0.0940039272,0.9490173212,2.4835952978,0.5125644797,0.0994085966,0.9864783342,0.0104458980,2.0000000000,0.4257729732,625.5000000000,0.5696976908,1.0000000000,0.0889826963,1.0000000000,329.9390216411,124.0000000000,0.5064979634,6066.9272282933
0,0.8557343005,-0.7089215870,0.9337960826,4.9475591522,0.2095838457,0.1285919226,0.9468348207,0.0138999459,4.0000000000,-0.2387516553,1248.5000000000,0.5074172967,3.0000000000,0.0755882152,3.0000000000,828.6870031797,417.0000000000,0.4057308101,23725.6897056926
0,0.8557359871,-1.5599108955,0.9823571679,9.9020908021,0.1009887730,0.1577064276,0.9599435995,0.0302309809,1.0000000000,0.1755444378,1309.7500000000,0.5210308538,2.0000000000,0.0803123630,1.0000000000,708.1507138222,346.0000000000,0.7270275269,33004.0576613685
0,0.8557319750,-0.9876920783,0.9718135055,6.4805633947,0.1543075716,0.1647774359,0.9390892443,0.0261956107,4.0000000000,-0.0792888563,1423.2500000000,0.5291319664,2.0000000000,0.0808717956,4.0000000000,774.0497835498,338.0000000000,0.7224903566,56898.7032869988
0,0.8557363121,-0.3421393804,0.9239286286,3.8649690703,0.2835824534,0.0853277798,0.9758205222,0.0071126866,1.0000000000,-0.2058343186,1301.7500000000,0.4894618701,1.0000000000,0.0817310536,4.0000000000,871.3246606335,402.7500000000,0.1272883876,20550.8162380686
0,0.8557338132,-0.0283193975,0.9319901641,8.1434976870,0.1227973579,0.1102501500,0.9774881011,0.0089707447,1.0000000000,0.2027639312,1419.2500000000,0.4536496053,4.0000000000,0.0754415368,4.0000000000,1066.5750000000,613.0000000000,-0.2965279397,20653.4429651097
0,0.8557314982,-0.6340601673,0.9773260646,3.9158463640,0.2632863213,0.1276988226,0.9122276942,0.0150065540,1.0000000000,0.3342497248,1121.2500000000,0.4872712807,1.0000000000,0.0717569537,4.0000000000,848.2844551282,435.7500000000,-0.4885645272,16874.7444683197
0,0.8554658886,-0.5426508537,0.8395250022,9.1346037799,0.1090561808,0.1508682104,0.8029710479,0.0190890797,1.0000000000,-1.1800604015,1090.7500000000,0.5950698259,4.0000000000,0.0821066805,2.0000000000,1024.2833333333,955.5000000000,-0.0633073525,3129.2785714286
0,0.8557358511,-0.1022410743,0.9519310821,1.6225063497,0.6994135050,0.0777544357,0.9858560750,0.0075733415,1.0000000000,0.2120414422,2021.2500000000,0.5397926019,1.0000000000,0.0852525979,3.0000000000,1135.3851122006,420.7500000000,0.2535701127,59215.4673303112
0,0.8557354967,-0.2461227695,0.9974831481,7.9119831111,0.1405168464,0.1127801238,0.9726449671,0.0112065832,1.0000000000,-0.2881287759,823.0000000000,0.5595151472,1.0000000000,0.0883247219,1.0000000000,540.7178068410,178.0000000000,-0.5447780357,19089.3323793568
0,0.8556336660,-0.0908865574,0.8983674568,3.6387359068,0.3466951534,0.0709522808,0.7585124606,0.0063393190,3.0000000000,-0.2932583361,901.5000000000,0.4551790123,1.0000000000,0.0756364353,1.0000000000,747.8214285714,550.2500000000,-0.2174247866,6650.1849489796
0,0.8557290710,-0.0527906551,0.9466671692,3.0170705655,0.4273702974,0.0857187625,0.9477910506,0.0119294298,1.0000000000,1.7042496470,1546.5000000000,0.5396580042,1.0000000000,0.0868270483,1.0000000000,798.3630268199,430.2500000000,1.3444505028,42416.4612537781
0,0.8557294493,-0.7301126871,0.9756285410,2.4006679030,0.5256777502,0.1093171934,0.9121649366,0.0116216734,1.0000000000,-0.2796586538,1058.7500000000,0.5305185753,3.0000000000,0.0770769771,4.0000000000,722.2462216625,414.0000000000,-0.0460297649,14906.3531855075
0,0.8556862870,-0.2156739828,0.9350980471,4.3416599899,0.2303266498,0.0726270868,0.9039695411,0.0029855670,1.0000000000,-0.8138874782,817.0000000000,0.4620944972,1.0000000000,0.0758080056,4.0000000000,698.4632352941,601.2500000000,0.2749056673,3534.6281194296
0,0.8557082923,-0.1650702857,1.0167181744,4.2975460088,0.4093949091,0.1418445506,0.8959775120,0.0168698988,4.0000000000,-0.3901144484,801.7500000000,0.5151390829,1.0000000000,0.0857147234,4.0000000000,596.8373786408,323.5000000000,-0.3609846521,11338.8515510301
0,0.8557293920,-0.4612622992,0.9623070784,4.4019132243,0.2271739467,0.1256859934,0.9407560461,0.0157791770,1.0000000000,-0.0214291683,729.7500000000,0.5204727396,1.0000000000,0.0847044254,3.0000000000,517.0357142857,331.0000000000,0.1433844340,6393.6558663890
0,0.8556833884,0.0702439044,0.9267157608,1.4369288828,0.8024360319,0.1482125997,0.8440174999,0.0177293340,4.0000000000,-0.9464027997,702.5000000000,0.5264027810,1.0000000000,0.1010680800,1.0000000000,533.2544642857,357.7500000000,0.1047568343,9013.1341720779
0,0.8557360015,-0.1869741946,1.0130601116,9.2132047786,0.1085398647,0.1091594948,0.9731513599,0.0229469685,1.0000000000,-0.7244784401,2066.2500000000,0.5602464048,4.0000000000,0.0901895119,2.0000000000,1110.5979225276,359.5000000000,0.2858339428,152398.4260424600
0,0.8557365434,1.0582509919,0.9984872526,4.9156524507,0.2034317947,0.0828087091,0.9956233245,0.0055223028,1.0000000000,1.3181827702,695.5000000000,0.5131545416,1.0000000000,0.0819288245,1.0000000000,459.1286716828,312.7500000000,0.2822395481,1544.6281848543
0,0.8556295216,-0.4928907329,1.0408585596,9.6204211134,0.1039455538,0.0748101939,0.7129022977,0.0043339458,3.0000000000,-0.2824614296,479.0000000000,0.4828249596,1.0000000000,0.0733783936,4.0000000000,408.1590909091,326.7500000000,-0.0035662224,1291.9090909091
0,0.8557053561,-0.2297176646,0.9805021367,5.1435015940,0.4198001294,0.1138183184,0.8496716105,0.0124295665,4.0000000000,-0.5096437283,987.0000000000,0.5616874143,2.0000000000,0.0776673879,4.0000000000,730.3932038835,486.0000000000,0.1465723441,15847.2497620407
