D,ntrees,min_samples_split,min_samples_leaf,avaucTrain,stdTrain,avaucVal,stdVal,auctest,type
3,20,3,3,0.912742681294,0.00972989463534,0.655261317,0.0541717221293,0.695724137931,trad_RF
3,20,3,6,0.896223605766,0.0131192598437,0.649575223853,0.017727594833,0.708,trad_RF
3,20,9,3,0.901342007687,0.00650998873343,0.659246362393,0.0338854549232,0.708965517241,trad_RF
3,20,9,6,0.896223605766,0.0131192598437,0.649575223853,0.017727594833,0.708,trad_RF
3,50,3,3,0.931411527729,0.00918769228076,0.661315834473,0.0278733098391,0.71075862069,trad_RF
3,50,3,6,0.927543850907,0.00900377919206,0.660029458401,0.0435275974321,0.724,trad_RF
3,50,9,3,0.930072078651,0.00356125238656,0.644023209178,0.0593742085328,0.72524137931,trad_RF
3,50,9,6,0.927543850907,0.00900377919206,0.660029458401,0.0435275974321,0.724,trad_RF
3,100,3,3,0.944843155068,0.00272941449754,0.669512498445,0.0521576888178,0.735586206897,trad_RF
3,100,3,6,0.932574755447,0.00545170637464,0.654972951125,0.0427932461982,0.735724137931,trad_RF
3,100,9,3,0.940105097796,0.00620835006072,0.673044786096,0.0407724758808,0.735448275862,trad_RF
3,100,9,6,0.932574755447,0.00545170637464,0.654972951125,0.0427932461982,0.735724137931,trad_RF
3,250,3,3,0.945817943352,0.00400517547653,0.655576887203,0.0372678201732,0.743862068966,trad_RF
3,250,3,6,0.935240934029,0.00432019914011,0.667362190648,0.0555083111277,0.735448275862,trad_RF
3,250,9,3,0.941604851198,0.00303946726032,0.657007446213,0.0363827211449,0.740965517241,trad_RF
3,250,9,6,0.935240934029,0.00432019914011,0.667362190648,0.0555083111277,0.735448275862,trad_RF
3,500,3,3,0.94808299538,0.00238059312709,0.664948000871,0.0405764604852,0.741379310345,trad_RF
3,500,3,6,0.937046784522,0.00533243233426,0.666535567715,0.044664367911,0.740137931034,trad_RF
3,500,9,3,0.94472620015,0.00452004728557,0.654199959582,0.0385708504333,0.746206896552,trad_RF
